"","id","host_is_superhost","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","price","security_deposit","cleaning_fee","guests_included","availability_365","number_of_reviews","instant_bookable","review_scores_rating"
"1",241032,"f","Queen Anne",47.6362890383572,-122.371025199978,"Apartment","Entire home/apt",4,1,1,1,85,0,0,2,346,207,"f",95
"2",953595,"t","Queen Anne",47.6391231213625,-122.365666464396,"Apartment","Entire home/apt",4,1,1,1,150,100,40,1,291,43,"f",96
"3",3308979,"f","Queen Anne",47.6297241315774,-122.369483175618,"House","Entire home/apt",11,4.5,5,7,975,0,300,10,220,20,"f",97
"4",7421966,"f","Queen Anne",47.6384732017664,-122.36927912263,"Apartment","Entire home/apt",3,1,0,2,100,0,0,1,143,0,"f",96
"5",278830,"f","Queen Anne",47.6329184027672,-122.372470634022,"House","Entire home/apt",6,2,3,3,450,700,125,6,365,38,"f",92
"6",5956968,"f","Queen Anne",47.6305254824019,-122.366174065189,"House","Private room",2,1,1,1,120,0,40,1,302,17,"f",95
"7",1909058,"t","Queen Anne",47.6366054453201,-122.368519058449,"House","Private room",2,1,1,1,80,150,0,1,346,58,"f",99
"8",856550,"t","Queen Anne",47.6401605412147,-122.375855978858,"House","Private room",2,1,1,1,60,150,25,1,100,173,"f",97
"9",4948745,"f","Queen Anne",47.632410299829,-122.35721606914,"Apartment","Private room",2,1,1,1,90,0,0,1,341,8,"f",97
"10",2493658,"t","Queen Anne",47.6374917202263,-122.366888590921,"Apartment","Entire home/apt",4,1,1,1,150,100,40,1,324,32,"f",97
"11",175576,"t","Queen Anne",47.6354817084102,-122.358477761622,"House","Entire home/apt",2,1,1,1,95,0,15,2,153,181,"f",97
"12",4454295,"f","Queen Anne",47.6372140751356,-122.360045761415,"House","Entire home/apt",2,1,1,1,99,500,150,1,229,8,"f",97
"13",3883392,"t","Queen Anne",47.6355455115124,-122.373170751835,"Apartment","Entire home/apt",4,1,2,3,245,300,95,1,362,13,"f",98
"14",8889257,"f","Queen Anne",47.6295068092343,-122.367629296742,"House","Entire home/apt",5,1,2,3,165,400,85,4,337,3,"f",100
